timestamp,ticker,order_size,avg_price,slippage,side
2025-04-03 13:30:00+00:00,SOUN,10,7.89,0.01,sell
2025-04-03 13:30:00+00:00,SOUN,50,7.89,0.01,sell
2025-04-03 13:30:00+00:00,SOUN,100,7.89,0.01,sell
2025-04-03 13:30:00+00:00,SOUN,200,7.8856,0.0144,sell
2025-04-03 13:30:00+00:00,SOUN,500,7.8754,0.02464,sell
2025-04-03 13:30:00+00:00,SOUN,1000,7.8677,0.03232,sell
2025-04-03 13:30:00+00:00,SOUN,2000,7.8592,0.040845,sell
2025-04-03 13:30:00+00:00,SOUN,5000,7.841,0.058962,sell
2025-04-03 13:30:00+00:00,SOUN,10,7.91,0.01,buy
2025-04-03 13:30:00+00:00,SOUN,50,7.91,0.01,buy
2025-04-03 13:30:00+00:00,SOUN,100,7.91,0.01,buy
2025-04-03 13:30:00+00:00,SOUN,200,7.9151,0.0151,buy
2025-04-03 13:30:00+00:00,SOUN,500,7.9616,0.0616,buy
2025-04-03 13:30:00+00:00,SOUN,1000,7.9858,0.0858,buy
2025-04-03 13:30:00+00:00,SOUN,2000,7.994,0.094044,buy
2025-04-03 13:30:00+00:00,SOUN,5000,7.994,0.094044,buy
2025-04-03 13:31:00+00:00,SOUN,10,8.07,0.015,sell
2025-04-03 13:31:00+00:00,SOUN,50,8.07,0.015,sell
2025-04-03 13:31:00+00:00,SOUN,100,8.07,0.015,sell
2025-04-03 13:31:00+00:00,SOUN,200,8.07,0.015,sell
2025-04-03 13:31:00+00:00,SOUN,500,8.07,0.015,sell
2025-04-03 13:31:00+00:00,SOUN,1000,8.07,0.015,sell
2025-04-03 13:31:00+00:00,SOUN,2000,8.0653,0.01975,sell
2025-04-03 13:31:00+00:00,SOUN,5000,8.0586,0.0264,sell
2025-04-03 13:31:00+00:00,SOUN,10,8.1,0.015,buy
2025-04-03 13:31:00+00:00,SOUN,50,8.1,0.015,buy
2025-04-03 13:31:00+00:00,SOUN,100,8.1,0.015,buy
2025-04-03 13:31:00+00:00,SOUN,200,8.1,0.015,buy
2025-04-03 13:31:00+00:00,SOUN,500,8.1,0.015,buy
2025-04-03 13:31:00+00:00,SOUN,1000,8.1,0.015,buy
2025-04-03 13:31:00+00:00,SOUN,2000,8.1008,0.01578,buy
2025-04-03 13:31:00+00:00,SOUN,5000,8.1063,0.021312,buy
2025-04-03 13:32:00+00:00,SOUN,10,8.16,0.005,sell
2025-04-03 13:32:00+00:00,SOUN,50,8.16,0.005,sell
2025-04-03 13:32:00+00:00,SOUN,100,8.16,0.005,sell
2025-04-03 13:32:00+00:00,SOUN,200,8.16,0.005,sell
2025-04-03 13:32:00+00:00,SOUN,500,8.16,0.005,sell
2025-04-03 13:32:00+00:00,SOUN,1000,8.16,0.005,sell
2025-04-03 13:32:00+00:00,SOUN,2000,8.1565,0.0085,sell
2025-04-03 13:32:00+00:00,SOUN,5000,8.1526,0.0124,sell
2025-04-03 13:32:00+00:00,SOUN,10,8.17,0.005,buy
2025-04-03 13:32:00+00:00,SOUN,50,8.17,0.005,buy
2025-04-03 13:32:00+00:00,SOUN,100,8.17,0.005,buy
2025-04-03 13:32:00+00:00,SOUN,200,8.175,0.01,buy
2025-04-03 13:32:00+00:00,SOUN,500,8.178,0.013,buy
2025-04-03 13:32:00+00:00,SOUN,1000,8.184,0.019,buy
2025-04-03 13:32:00+00:00,SOUN,2000,8.187,0.022,buy
2025-04-03 13:32:00+00:00,SOUN,5000,8.1909,0.025866,buy
2025-04-03 13:33:00+00:00,SOUN,10,8.13,0.015,sell
2025-04-03 13:33:00+00:00,SOUN,50,8.13,0.015,sell
2025-04-03 13:33:00+00:00,SOUN,100,8.13,0.015,sell
2025-04-03 13:33:00+00:00,SOUN,200,8.13,0.015,sell
2025-04-03 13:33:00+00:00,SOUN,500,8.13,0.015,sell
2025-04-03 13:33:00+00:00,SOUN,1000,8.13,0.015,sell
2025-04-03 13:33:00+00:00,SOUN,2000,8.127,0.018,sell
2025-04-03 13:33:00+00:00,SOUN,5000,8.1212,0.02376,sell
2025-04-03 13:33:00+00:00,SOUN,10,8.16,0.015,buy
2025-04-03 13:33:00+00:00,SOUN,50,8.16,0.015,buy
2025-04-03 13:33:00+00:00,SOUN,100,8.16,0.015,buy
2025-04-03 13:33:00+00:00,SOUN,200,8.16,0.015,buy
2025-04-03 13:33:00+00:00,SOUN,500,8.16,0.015,buy
2025-04-03 13:33:00+00:00,SOUN,1000,8.16,0.015,buy
2025-04-03 13:33:00+00:00,SOUN,2000,8.1646,0.019605,buy
2025-04-03 13:33:00+00:00,SOUN,5000,8.1686,0.023636,buy
2025-04-03 13:34:00+00:00,SOUN,10,8.21,0.01,sell
2025-04-03 13:34:00+00:00,SOUN,50,8.21,0.01,sell
2025-04-03 13:34:00+00:00,SOUN,100,8.21,0.01,sell
2025-04-03 13:34:00+00:00,SOUN,200,8.21,0.01,sell
2025-04-03 13:34:00+00:00,SOUN,500,8.206,0.014,sell
2025-04-03 13:34:00+00:00,SOUN,1000,8.203,0.017,sell
2025-04-03 13:34:00+00:00,SOUN,2000,8.2015,0.0185,sell
2025-04-03 13:34:00+00:00,SOUN,5000,8.2005,0.01947,sell
2025-04-03 13:34:00+00:00,SOUN,10,8.23,0.01,buy
2025-04-03 13:34:00+00:00,SOUN,50,8.23,0.01,buy
2025-04-03 13:34:00+00:00,SOUN,100,8.23,0.01,buy
2025-04-03 13:34:00+00:00,SOUN,200,8.23,0.01,buy
2025-04-03 13:34:00+00:00,SOUN,500,8.23,0.01,buy
2025-04-03 13:34:00+00:00,SOUN,1000,8.2334,0.0134,buy
2025-04-03 13:34:00+00:00,SOUN,2000,8.2367,0.0167,buy
2025-04-03 13:34:00+00:00,SOUN,5000,8.2425,0.022458,buy
2025-04-03 13:35:00+00:00,SOUN,10,8.19,0.005,sell
2025-04-03 13:35:00+00:00,SOUN,50,8.19,0.005,sell
